id,transactions
11,"[{'order_id': 61, 'purchase_value': 72.06, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 62, 'purchase_value': 28.64, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 63, 'purchase_value': 71.9, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 64, 'purchase_value': 168.42, 'discount_value': 16.84, 'applies_discount': True}, {'order_id': 65, 'purchase_value': 19.78, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 66, 'purchase_value': 106.28, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 67, 'purchase_value': 109.47, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 68, 'purchase_value': 88.28, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 69, 'purchase_value': 173.09, 'discount_value': 0.0, 'applies_discount': False}]"
12,"[{'order_id': 70, 'purchase_value': 87.53, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 71, 'purchase_value': 158.86, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 72, 'purchase_value': 157.82, 'discount_value': 15.78, 'applies_discount': True}, {'order_id': 73, 'purchase_value': 185.58, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 74, 'purchase_value': 31.29, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 75, 'purchase_value': 74.5, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 76, 'purchase_value': 117.69, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 77, 'purchase_value': 174.58, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 78, 'purchase_value': 77.54, 'discount_value': 0.0, 'applies_discount': False}]"
13,"[{'order_id': 79, 'purchase_value': 124.6, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 80, 'purchase_value': 118.67, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 81, 'purchase_value': 10.21, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 82, 'purchase_value': 54.27, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 83, 'purchase_value': 196.37, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 84, 'purchase_value': 64.3, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 85, 'purchase_value': 67.54, 'discount_value': 0.0, 'applies_discount': False}]"
14,"[{'order_id': 86, 'purchase_value': 100.3, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 87, 'purchase_value': 26.29, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 88, 'purchase_value': 100.59, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 89, 'purchase_value': 124.47, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 90, 'purchase_value': 21.44, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 91, 'purchase_value': 156.29, 'discount_value': 0.0, 'applies_discount': False}]"
15,"[{'order_id': 92, 'purchase_value': 17.11, 'discount_value': 1.71, 'applies_discount': True}, {'order_id': 93, 'purchase_value': 122.99, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 94, 'purchase_value': 94.68, 'discount_value': 9.47, 'applies_discount': True}, {'order_id': 95, 'purchase_value': 65.05, 'discount_value': 6.5, 'applies_discount': True}, {'order_id': 96, 'purchase_value': 57.15, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 97, 'purchase_value': 74.26, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 98, 'purchase_value': 179.59, 'discount_value': 17.96, 'applies_discount': True}, {'order_id': 99, 'purchase_value': 176.07, 'discount_value': 17.61, 'applies_discount': True}, {'order_id': 100, 'purchase_value': 65.99, 'discount_value': 0.0, 'applies_discount': False}]"
16,"[{'order_id': 101, 'purchase_value': 196.38, 'discount_value': 19.64, 'applies_discount': True}, {'order_id': 102, 'purchase_value': 33.09, 'discount_value': 0.0, 'applies_discount': False}]"
17,"[{'order_id': 103, 'purchase_value': 77.96, 'discount_value': 7.8, 'applies_discount': True}, {'order_id': 104, 'purchase_value': 141.03, 'discount_value': 14.1, 'applies_discount': True}, {'order_id': 105, 'purchase_value': 103.56, 'discount_value': 10.36, 'applies_discount': True}, {'order_id': 106, 'purchase_value': 184.7, 'discount_value': 18.47, 'applies_discount': True}]"
18,"[{'order_id': 107, 'purchase_value': 120.5, 'discount_value': 12.05, 'applies_discount': True}, {'order_id': 108, 'purchase_value': 88.52, 'discount_value': 8.85, 'applies_discount': True}, {'order_id': 109, 'purchase_value': 16.43, 'discount_value': 1.64, 'applies_discount': True}, {'order_id': 110, 'purchase_value': 187.03, 'discount_value': 18.7, 'applies_discount': True}, {'order_id': 111, 'purchase_value': 151.42, 'discount_value': 15.14, 'applies_discount': True}, {'order_id': 112, 'purchase_value': 182.17, 'discount_value': 18.22, 'applies_discount': True}, {'order_id': 113, 'purchase_value': 108.73, 'discount_value': 10.87, 'applies_discount': True}, {'order_id': 114, 'purchase_value': 147.35, 'discount_value': 14.73, 'applies_discount': True}]"
19,"[{'order_id': 115, 'purchase_value': 37.05, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 116, 'purchase_value': 123.74, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 117, 'purchase_value': 195.55, 'discount_value': 19.56, 'applies_discount': True}, {'order_id': 118, 'purchase_value': 19.28, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 119, 'purchase_value': 128.16, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 120, 'purchase_value': 166.28, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 121, 'purchase_value': 11.17, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 122, 'purchase_value': 53.24, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 123, 'purchase_value': 89.9, 'discount_value': 8.99, 'applies_discount': True}, {'order_id': 124, 'purchase_value': 180.28, 'discount_value': 0.0, 'applies_discount': False}]"
20,"[{'order_id': 125, 'purchase_value': 158.49, 'discount_value': 15.85, 'applies_discount': True}, {'order_id': 126, 'purchase_value': 153.38, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 127, 'purchase_value': 141.37, 'discount_value': 14.14, 'applies_discount': True}, {'order_id': 128, 'purchase_value': 195.1, 'discount_value': 19.51, 'applies_discount': True}, {'order_id': 129, 'purchase_value': 117.17, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 130, 'purchase_value': 147.35, 'discount_value': 14.73, 'applies_discount': True}, {'order_id': 131, 'purchase_value': 161.79, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 132, 'purchase_value': 76.59, 'discount_value': 7.66, 'applies_discount': True}, {'order_id': 133, 'purchase_value': 72.63, 'discount_value': 0.0, 'applies_discount': False}]"
21,"[{'order_id': 134, 'purchase_value': 100.68, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 135, 'purchase_value': 169.25, 'discount_value': 16.93, 'applies_discount': True}, {'order_id': 136, 'purchase_value': 192.0, 'discount_value': 19.2, 'applies_discount': True}, {'order_id': 137, 'purchase_value': 170.95, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 138, 'purchase_value': 12.08, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 139, 'purchase_value': 154.51, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 140, 'purchase_value': 118.31, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 141, 'purchase_value': 151.0, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 142, 'purchase_value': 125.85, 'discount_value': 12.59, 'applies_discount': True}]"
22,"[{'order_id': 143, 'purchase_value': 56.81, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 144, 'purchase_value': 36.64, 'discount_value': 0.0, 'applies_discount': False}]"
23,"[{'order_id': 145, 'purchase_value': 37.82, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 146, 'purchase_value': 166.72, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 147, 'purchase_value': 82.07, 'discount_value': 0.0, 'applies_discount': False}]"
24,"[{'order_id': 148, 'purchase_value': 89.6, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 149, 'purchase_value': 58.36, 'discount_value': 5.84, 'applies_discount': True}, {'order_id': 150, 'purchase_value': 88.75, 'discount_value': 8.88, 'applies_discount': True}, {'order_id': 151, 'purchase_value': 176.29, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 152, 'purchase_value': 98.84, 'discount_value': 9.88, 'applies_discount': True}, {'order_id': 153, 'purchase_value': 44.02, 'discount_value': 0.0, 'applies_discount': False}]"
25,"[{'order_id': 154, 'purchase_value': 136.1, 'discount_value': 13.61, 'applies_discount': True}, {'order_id': 155, 'purchase_value': 122.12, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 156, 'purchase_value': 108.65, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 157, 'purchase_value': 118.39, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 158, 'purchase_value': 131.23, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 159, 'purchase_value': 51.94, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 160, 'purchase_value': 167.64, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 161, 'purchase_value': 85.46, 'discount_value': 0.0, 'applies_discount': False}]"
26,"[{'order_id': 162, 'purchase_value': 37.97, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 163, 'purchase_value': 51.1, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 164, 'purchase_value': 192.5, 'discount_value': 0.0, 'applies_discount': False}]"
27,"[{'order_id': 165, 'purchase_value': 108.37, 'discount_value': 10.84, 'applies_discount': True}, {'order_id': 166, 'purchase_value': 94.83, 'discount_value': 9.48, 'applies_discount': True}, {'order_id': 167, 'purchase_value': 163.49, 'discount_value': 16.35, 'applies_discount': True}, {'order_id': 168, 'purchase_value': 115.44, 'discount_value': 11.54, 'applies_discount': True}, {'order_id': 169, 'purchase_value': 139.82, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 170, 'purchase_value': 91.41, 'discount_value': 9.14, 'applies_discount': True}, {'order_id': 171, 'purchase_value': 26.89, 'discount_value': 0.0, 'applies_discount': False}]"
28,"[{'order_id': 172, 'purchase_value': 70.23, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 173, 'purchase_value': 94.14, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 174, 'purchase_value': 28.58, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 175, 'purchase_value': 133.58, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 176, 'purchase_value': 27.29, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 177, 'purchase_value': 29.97, 'discount_value': 3.0, 'applies_discount': True}, {'order_id': 178, 'purchase_value': 139.34, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 179, 'purchase_value': 71.34, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 180, 'purchase_value': 55.02, 'discount_value': 5.5, 'applies_discount': True}, {'order_id': 181, 'purchase_value': 188.4, 'discount_value': 18.84, 'applies_discount': True}]"
29,"[{'order_id': 182, 'purchase_value': 192.4, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 183, 'purchase_value': 111.15, 'discount_value': 11.12, 'applies_discount': True}, {'order_id': 184, 'purchase_value': 107.59, 'discount_value': 10.76, 'applies_discount': True}, {'order_id': 185, 'purchase_value': 108.34, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 186, 'purchase_value': 16.17, 'discount_value': 1.62, 'applies_discount': True}, {'order_id': 187, 'purchase_value': 69.54, 'discount_value': 0.0, 'applies_discount': False}]"
30,"[{'order_id': 188, 'purchase_value': 190.49, 'discount_value': 0.0, 'applies_discount': False}]"
31,"[{'order_id': 189, 'purchase_value': 15.51, 'discount_value': 1.55, 'applies_discount': True}, {'order_id': 190, 'purchase_value': 28.38, 'discount_value': 2.84, 'applies_discount': True}, {'order_id': 191, 'purchase_value': 23.2, 'discount_value': 2.32, 'applies_discount': True}, {'order_id': 192, 'purchase_value': 164.6, 'discount_value': 16.46, 'applies_discount': True}, {'order_id': 193, 'purchase_value': 24.98, 'discount_value': 2.5, 'applies_discount': True}, {'order_id': 194, 'purchase_value': 189.08, 'discount_value': 0.0, 'applies_discount': False}]"
32,"[{'order_id': 195, 'purchase_value': 171.26, 'discount_value': 17.13, 'applies_discount': True}, {'order_id': 196, 'purchase_value': 84.0, 'discount_value': 8.4, 'applies_discount': True}, {'order_id': 197, 'purchase_value': 116.15, 'discount_value': 11.62, 'applies_discount': True}, {'order_id': 198, 'purchase_value': 194.36, 'discount_value': 0.0, 'applies_discount': False}]"
33,"[{'order_id': 199, 'purchase_value': 197.1, 'discount_value': 0.0, 'applies_discount': False}]"
34,"[{'order_id': 200, 'purchase_value': 154.71, 'discount_value': 15.47, 'applies_discount': True}, {'order_id': 201, 'purchase_value': 119.77, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 202, 'purchase_value': 141.93, 'discount_value': 14.19, 'applies_discount': True}, {'order_id': 203, 'purchase_value': 177.94, 'discount_value': 17.79, 'applies_discount': True}, {'order_id': 204, 'purchase_value': 39.35, 'discount_value': 3.94, 'applies_discount': True}, {'order_id': 205, 'purchase_value': 162.89, 'discount_value': 16.29, 'applies_discount': True}, {'order_id': 206, 'purchase_value': 110.03, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 207, 'purchase_value': 153.09, 'discount_value': 15.31, 'applies_discount': True}, {'order_id': 208, 'purchase_value': 112.62, 'discount_value': 11.26, 'applies_discount': True}, {'order_id': 209, 'purchase_value': 192.08, 'discount_value': 19.21, 'applies_discount': True}]"
35,"[{'order_id': 210, 'purchase_value': 101.85, 'discount_value': 10.19, 'applies_discount': True}, {'order_id': 211, 'purchase_value': 147.43, 'discount_value': 14.74, 'applies_discount': True}, {'order_id': 212, 'purchase_value': 105.62, 'discount_value': 10.56, 'applies_discount': True}, {'order_id': 213, 'purchase_value': 63.63, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 214, 'purchase_value': 27.84, 'discount_value': 2.78, 'applies_discount': True}, {'order_id': 215, 'purchase_value': 114.04, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 216, 'purchase_value': 41.51, 'discount_value': 4.15, 'applies_discount': True}, {'order_id': 217, 'purchase_value': 169.53, 'discount_value': 16.95, 'applies_discount': True}, {'order_id': 218, 'purchase_value': 178.26, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 219, 'purchase_value': 99.35, 'discount_value': 9.94, 'applies_discount': True}]"
36,"[{'order_id': 220, 'purchase_value': 91.69, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 221, 'purchase_value': 189.72, 'discount_value': 0.0, 'applies_discount': False}]"
37,"[{'order_id': 222, 'purchase_value': 97.73, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 223, 'purchase_value': 77.61, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 224, 'purchase_value': 15.22, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 225, 'purchase_value': 130.88, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 226, 'purchase_value': 181.26, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 227, 'purchase_value': 177.9, 'discount_value': 17.79, 'applies_discount': True}, {'order_id': 228, 'purchase_value': 21.47, 'discount_value': 0.0, 'applies_discount': False}]"
38,"[{'order_id': 229, 'purchase_value': 80.77, 'discount_value': 8.08, 'applies_discount': True}, {'order_id': 230, 'purchase_value': 149.14, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 231, 'purchase_value': 128.14, 'discount_value': 12.81, 'applies_discount': True}, {'order_id': 232, 'purchase_value': 147.28, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 233, 'purchase_value': 25.49, 'discount_value': 2.55, 'applies_discount': True}, {'order_id': 234, 'purchase_value': 124.75, 'discount_value': 12.48, 'applies_discount': True}, {'order_id': 235, 'purchase_value': 149.85, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 236, 'purchase_value': 91.61, 'discount_value': 9.16, 'applies_discount': True}, {'order_id': 237, 'purchase_value': 76.31, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 238, 'purchase_value': 23.55, 'discount_value': 0.0, 'applies_discount': False}]"
39,"[{'order_id': 239, 'purchase_value': 52.97, 'discount_value': 0.0, 'applies_discount': False}]"
40,"[{'order_id': 240, 'purchase_value': 196.8, 'discount_value': 19.68, 'applies_discount': True}, {'order_id': 241, 'purchase_value': 86.69, 'discount_value': 8.67, 'applies_discount': True}, {'order_id': 242, 'purchase_value': 122.53, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 243, 'purchase_value': 20.25, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 244, 'purchase_value': 116.71, 'discount_value': 11.67, 'applies_discount': True}, {'order_id': 245, 'purchase_value': 130.04, 'discount_value': 13.0, 'applies_discount': True}, {'order_id': 246, 'purchase_value': 166.74, 'discount_value': 16.67, 'applies_discount': True}, {'order_id': 247, 'purchase_value': 136.8, 'discount_value': 13.68, 'applies_discount': True}, {'order_id': 248, 'purchase_value': 91.36, 'discount_value': 9.14, 'applies_discount': True}]"
41,"[{'order_id': 249, 'purchase_value': 53.55, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 250, 'purchase_value': 59.03, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 251, 'purchase_value': 52.42, 'discount_value': 0.0, 'applies_discount': False}]"
42,"[{'order_id': 252, 'purchase_value': 147.14, 'discount_value': 14.71, 'applies_discount': True}, {'order_id': 253, 'purchase_value': 109.05, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 254, 'purchase_value': 77.0, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 255, 'purchase_value': 163.89, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 256, 'purchase_value': 37.22, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 257, 'purchase_value': 158.33, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 258, 'purchase_value': 199.99, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 259, 'purchase_value': 13.82, 'discount_value': 0.0, 'applies_discount': False}]"
43,"[{'order_id': 260, 'purchase_value': 165.81, 'discount_value': 16.58, 'applies_discount': True}, {'order_id': 261, 'purchase_value': 177.7, 'discount_value': 17.77, 'applies_discount': True}, {'order_id': 262, 'purchase_value': 88.36, 'discount_value': 8.84, 'applies_discount': True}, {'order_id': 263, 'purchase_value': 198.5, 'discount_value': 19.85, 'applies_discount': True}, {'order_id': 264, 'purchase_value': 144.34, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 265, 'purchase_value': 38.64, 'discount_value': 3.86, 'applies_discount': True}, {'order_id': 266, 'purchase_value': 22.52, 'discount_value': 2.25, 'applies_discount': True}, {'order_id': 267, 'purchase_value': 133.02, 'discount_value': 0.0, 'applies_discount': False}]"
44,"[{'order_id': 268, 'purchase_value': 45.4, 'discount_value': 4.54, 'applies_discount': True}, {'order_id': 269, 'purchase_value': 40.83, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 270, 'purchase_value': 166.15, 'discount_value': 16.62, 'applies_discount': True}]"
45,"[{'order_id': 271, 'purchase_value': 94.91, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 272, 'purchase_value': 173.47, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 273, 'purchase_value': 180.37, 'discount_value': 18.04, 'applies_discount': True}, {'order_id': 274, 'purchase_value': 139.9, 'discount_value': 0.0, 'applies_discount': False}]"
46,"[{'order_id': 275, 'purchase_value': 112.1, 'discount_value': 11.21, 'applies_discount': True}, {'order_id': 276, 'purchase_value': 85.57, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 277, 'purchase_value': 80.65, 'discount_value': 8.07, 'applies_discount': True}]"
47,"[{'order_id': 278, 'purchase_value': 19.87, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 279, 'purchase_value': 177.73, 'discount_value': 17.77, 'applies_discount': True}, {'order_id': 280, 'purchase_value': 152.45, 'discount_value': 0.0, 'applies_discount': False}]"
48,"[{'order_id': 281, 'purchase_value': 120.1, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 282, 'purchase_value': 30.17, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 283, 'purchase_value': 69.13, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 284, 'purchase_value': 185.3, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 285, 'purchase_value': 12.33, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 286, 'purchase_value': 117.16, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 287, 'purchase_value': 16.71, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 288, 'purchase_value': 174.32, 'discount_value': 17.43, 'applies_discount': True}, {'order_id': 289, 'purchase_value': 158.78, 'discount_value': 0.0, 'applies_discount': False}]"
49,"[{'order_id': 290, 'purchase_value': 151.59, 'discount_value': 15.16, 'applies_discount': True}, {'order_id': 291, 'purchase_value': 70.98, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 292, 'purchase_value': 199.03, 'discount_value': 19.9, 'applies_discount': True}, {'order_id': 293, 'purchase_value': 19.1, 'discount_value': 1.91, 'applies_discount': True}, {'order_id': 294, 'purchase_value': 179.07, 'discount_value': 17.91, 'applies_discount': True}]"
50,"[{'order_id': 295, 'purchase_value': 137.74, 'discount_value': 13.77, 'applies_discount': True}]"
51,"[{'order_id': 296, 'purchase_value': 133.21, 'discount_value': 13.32, 'applies_discount': True}, {'order_id': 297, 'purchase_value': 168.47, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 298, 'purchase_value': 190.28, 'discount_value': 19.03, 'applies_discount': True}, {'order_id': 299, 'purchase_value': 148.64, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 300, 'purchase_value': 24.83, 'discount_value': 2.48, 'applies_discount': True}]"
